dt,x,y,position,velocity,acceleration,jerk,heading
0,0,0,0,0,0,0,0
0.05,0.002,0.0,0.0025,0.09999999999999999,1.9999999999999998,39.99999999999999,0.0
0.05,0.009499999999999998,0.0,0.01,0.19999999999999998,1.9999999999999998,0.0,0.0
0.05,0.022000000000000002,0.0,0.0225,0.3,2.0,4.440892098500626E-15,0.0
0.05,0.03949999999999996,0.0,0.039999999999999994,0.39999999999999997,1.9999999999999996,-8.881784197001252E-15,0.0
0.05,0.062000000000000104,0.0,0.06249999999999999,0.5,2.0000000000000004,1.7763568394002505E-14,0.0
0.05,0.08950000000000026,0.0,0.09,0.6,1.9999999999999996,-1.7763568394002505E-14,0.0
0.05,0.12200000000000047,0.0,0.1225,0.7,1.9999999999999996,0.0,0.0
0.05,0.15950000000000053,0.0,0.16,0.7999999999999999,1.9999999999999996,0.0,0.0
0.05,0.20199999999999935,0.0,0.2025,0.9,2.0000000000000018,4.440892098500626E-14,0.0
0.05,0.249499999999998,0.0,0.25,1.0,1.9999999999999996,-4.440892098500626E-14,0.0
0.05,0.3019999999999965,0.0,0.3025,1.1,2.0000000000000018,4.440892098500626E-14,0.0
0.05,0.3594999999999948,0.0,0.36,1.2,1.9999999999999973,-8.881784197001252E-14,0.0
0.05,0.421999999999993,0.0,0.4225,1.2999999999999998,1.9999999999999973,0.0,0.0
0.05,0.4894999999999911,0.0,0.49,1.4,2.0000000000000018,8.881784197001252E-14,0.0
0.05,0.5619999999999891,0.0,0.5625,1.5,2.0000000000000018,0.0,0.0
0.05,0.639499999999989,0.0,0.64,1.5999999999999999,1.9999999999999973,-8.881784197001252E-14,0.0
0.05,0.7219999999999981,0.0,0.7225,1.7,2.0000000000000018,8.881784197001252E-14,0.0
0.05,0.8070000000000075,0.0,0.8075,1.7,0.0,-40.000000000000036,0.0
0.05,0.8920000000000167,0.0,0.8925,1.7,0.0,0.0,0.0
0.05,0.9770000000000261,0.0,0.9774999999999999,1.7,0.0,0.0,0.0
0.05,1.0620000000000354,0.0,1.0625,1.7,0.0,0.0,0.0
0.05,1.1470000000000449,0.0,1.1475,1.7,0.0,0.0,0.0
0.05,1.2320000000000542,0.0,1.2325,1.7,0.0,0.0,0.0
0.05,1.3170000000000635,0.0,1.3175,1.7,0.0,0.0,0.0
0.05,1.402000000000073,0.0,1.4024999999999999,1.7,0.0,0.0,0.0
0.05,1.4870000000000823,0.0,1.4874999999999998,1.7,0.0,0.0,0.0
0.05,1.5720000000000913,0.0,1.5724999999999998,1.7,0.0,0.0,0.0
0.05,1.6570000000001008,0.0,1.6574999999999998,1.7,0.0,0.0,0.0
0.05,1.74200000000011,0.0,1.7424999999999997,1.7,0.0,0.0,0.0
0.05,1.8270000000001194,0.0,1.8274999999999997,1.7,0.0,0.0,0.0
0.05,1.912000000000129,0.0,1.9124999999999996,1.7,0.0,0.0,0.0
0.05,1.997000000000138,0.0,1.9974999999999996,1.7,0.0,0.0,0.0
0.05,2.0820000000001473,0.0,2.0824999999999996,1.7,0.0,0.0,0.0
0.05,2.1670000000001566,0.0,2.1674999999999995,1.7,0.0,0.0,0.0
0.05,2.252000000000166,0.0,2.2524999999999995,1.7,0.0,0.0,0.0
0.05,2.3370000000001756,0.0,2.3374999999999995,1.7,0.0,0.0,0.0
0.05,2.4220000000001844,0.0,2.4224999999999994,1.7,0.0,0.0,0.0
0.05,2.5070000000001933,0.0,2.5074999999999994,1.7,0.0,0.0,0.0
0.05,2.592000000000203,0.0,2.5924999999999994,1.7,0.0,0.0,0.0
0.05,2.6770000000002128,0.0,2.6774999999999993,1.7,0.0,0.0,0.0
0.05,2.762000000000222,0.0,2.7624999999999993,1.7,0.0,0.0,0.0
0.05,2.8470000000002313,0.0,2.8474999999999993,1.7,0.0,0.0,0.0
0.05,2.9320000000002406,0.0,2.932499999999999,1.7,0.0,0.0,0.0
0.05,3.01700000000025,0.0,3.017499999999999,1.7,0.0,0.0,0.0
0.05,3.1020000000002597,0.0,3.102499999999999,1.7,0.0,0.0,0.0
0.05,3.1870000000002685,0.0,3.187499999999999,1.7,0.0,0.0,0.0
0.05,3.2720000000002782,0.0,3.272499999999999,1.7,0.0,0.0,0.0
0.05,3.357000000000287,0.0,3.357499999999999,1.7,0.0,0.0,0.0
0.05,3.4420000000002964,0.0,3.442499999999999,1.7,0.0,0.0,0.0
0.05,3.527000000000306,0.0,3.527499999999999,1.7,0.0,0.0,0.0
0.05,3.6120000000003154,0.0,3.612499999999999,1.7,0.0,0.0,0.0
0.05,3.697000000000325,0.0,3.697499999999999,1.7,0.0,0.0,0.0
0.05,3.7820000000003335,0.0,3.782499999999999,1.7,0.0,0.0,0.0
0.05,3.867000000000343,0.0,3.867499999999999,1.7,0.0,0.0,0.0
0.05,3.9520000000003526,0.0,3.952499999999999,1.7,0.0,0.0,0.0
0.05,4.037000000000362,0.0,4.037499999999999,1.7,0.0,0.0,0.0
0.05,4.122000000000371,0.0,4.122499999999999,1.7,0.0,0.0,0.0
0.05,4.207000000000381,0.0,4.207499999999999,1.7,0.0,0.0,0.0
0.05,4.29200000000039,0.0,4.292499999999999,1.7,0.0,0.0,0.0
0.05,4.377000000000399,0.0,4.377499999999999,1.7,0.0,0.0,0.0
0.05,4.462000000000408,0.0,4.462499999999999,1.7,0.0,0.0,0.0
0.05,4.547000000000418,0.0,4.5474999999999985,1.7,0.0,0.0,0.0
0.05,4.632000000000427,0.0,4.6324999999999985,1.7,0.0,0.0,0.0
0.05,4.717000000000437,0.0,4.7174999999999985,1.7,0.0,0.0,0.0
0.05,4.8020000000004455,0.0,4.802499999999998,1.7,0.0,0.0,0.0
0.05,4.887000000000455,0.0,4.887499999999998,1.7,0.0,0.0,0.0
0.05,4.972000000000465,0.0,4.972499999999998,1.7,0.0,0.0,0.0
0.05,5.057000000000473,0.0,5.057499999999998,1.7,0.0,0.0,0.0
0.05,5.142000000000483,0.0,5.142499999999998,1.7,0.0,0.0,0.0
0.05,5.227000000000492,0.0,5.227499999999998,1.7,0.0,0.0,0.0
0.05,5.3120000000005,0.0,5.312499999999998,1.7,0.0,0.0,0.0
0.05,5.39700000000051,0.0,5.397499999999998,1.7,0.0,0.0,0.0
0.05,5.48200000000052,0.0,5.482499999999998,1.7,0.0,0.0,0.0
0.05,5.5670000000005295,0.0,5.567499999999998,1.7,0.0,0.0,0.0
0.05,5.652000000000539,0.0,5.652499999999998,1.7,0.0,0.0,0.0
0.05,5.737000000000547,0.0,5.737499999999998,1.7,0.0,0.0,0.0
0.05,5.822000000000558,0.0,5.822499999999998,1.7,0.0,0.0,0.0
0.05,5.907000000000567,0.0,5.907499999999998,1.7,0.0,0.0,0.0
0.05,5.9920000000005755,0.0,5.992499999999998,1.7,0.0,0.0,0.0
0.05,6.077000000000585,0.0,6.077499999999998,1.7,0.0,0.0,0.0
0.05,6.162000000000594,0.0,6.162499999999998,1.7,0.0,0.0,0.0
0.05,6.247000000000604,0.0,6.247499999999998,1.7,0.0,0.0,0.0
0.05,6.332000000000613,0.0,6.332499999999998,1.7,0.0,0.0,0.0
0.05,6.417000000000623,0.0,6.417499999999998,1.7,0.0,0.0,0.0
