timestamp,talonsrx_1__selected_sensor_velocity__pid_0_, talonsrx_1__output_voltage
279,1132.0, 3.2653958944281523
284,1132.0, 3.2653958944281523
289,1562.0, 3.2653958944281523
294,1562.0, 3.2653958944281523
299,1562.0, 3.2653958944281523
304,1562.0, 3.2653958944281523
309,1926.0, 3.2653958944281523
314,1926.0, 3.2653958944281523
319,1926.0, 3.2653958944281523
324,1926.0, 3.2653958944281523
329,2094.0, 3.2653958944281523
334,2094.0, 3.2653958944281523
339,2094.0, 3.2653958944281523
344,2094.0, 3.2653958944281523
349,2184.0, 3.2653958944281523
354,2184.0, 3.2653958944281523
359,2184.0, 3.2653958944281523
364,2184.0, 3.2653958944281523
369,2238.0, 3.2653958944281523
374,2238.0, 3.2653958944281523
379,2238.0, 3.2653958944281523
384,2238.0, 3.2653958944281523
389,2269.0, 3.2653958944281523
394,2269.0, 3.277859237536657
399,2269.0, 3.277859237536657
404,2269.0, 3.277859237536657
409,2291.0, 3.277859237536657
414,2291.0, 3.277859237536657
419,2291.0, 3.277859237536657
424,2291.0, 3.277859237536657
429,2311.0, 3.277859237536657
434,2311.0, 3.277859237536657
439,2311.0, 3.277859237536657
444,2311.0, 3.277859237536657
449,2328.0, 3.277859237536657
454,2328.0, 3.277859237536657
459,2328.0, 3.277859237536657
464,2328.0, 3.277859237536657
469,2334.0, 3.277859237536657
474,2334.0, 3.277859237536657
479,2334.0, 3.277859237536657
484,2334.0, 3.277859237536657
489,2338.0, 3.277859237536657
494,2338.0, 3.277859237536657
499,2338.0, 3.277859237536657
504,2338.0, 3.277859237536657
509,2349.0, 3.277859237536657
514,2349.0, 3.277859237536657
519,2349.0, 3.277859237536657
524,2349.0, 3.277859237536657
529,2346.0, 3.277859237536657
534,2346.0, 3.277859237536657
539,2346.0, 3.277859237536657
544,2346.0, 3.277859237536657
549,2345.0, 3.277859237536657
554,2345.0, 3.277859237536657
559,2345.0, 3.277859237536657
564,2345.0, 3.277859237536657
569,2346.0, 3.277859237536657
574,2346.0, 3.277859237536657
579,2346.0, 3.277859237536657
584,2346.0, 3.277859237536657
589,2352.0, 3.277859237536657
594,2352.0, 3.277859237536657
599,2352.0, 3.277859237536657
604,2352.0, 3.277859237536657
609,2357.0, 3.277859237536657
614,2357.0, 3.277859237536657
619,2357.0, 3.277859237536657
624,2357.0, 3.277859237536657
629,2360.0, 3.277859237536657
634,2360.0, 3.277859237536657
639,2360.0, 3.277859237536657
644,2360.0, 3.277859237536657
649,2360.0, 3.277859237536657
654,2360.0, 3.277859237536657
659,2360.0, 3.277859237536657
664,2360.0, 3.277859237536657
669,2358.0, 3.277859237536657
674,2358.0, 3.277859237536657
679,2358.0, 3.277859237536657
684,2358.0, 3.277859237536657
689,2362.0, 3.277859237536657
694,2362.0, 3.2903225806451615
699,2362.0, 3.2903225806451615
704,2362.0, 3.2903225806451615
709,2363.0, 3.2903225806451615
714,2363.0, 3.2903225806451615
719,2363.0, 3.2903225806451615
724,2363.0, 3.2903225806451615
729,2362.0, 3.2903225806451615
734,2362.0, 3.2903225806451615
739,2362.0, 3.2903225806451615
744,2362.0, 3.2903225806451615
749,2363.0, 3.2903225806451615
754,2363.0, 3.2903225806451615
759,2363.0, 3.2903225806451615
764,2363.0, 3.2903225806451615
769,2372.0, 3.2903225806451615
774,2372.0, 3.2903225806451615
779,2372.0, 3.2903225806451615
784,2372.0, 3.2903225806451615
789,2372.0, 3.2903225806451615
794,2372.0, 3.2903225806451615
799,2372.0, 3.2903225806451615
804,2372.0, 3.2903225806451615
809,2368.0, 3.2903225806451615
814,2368.0, 3.2903225806451615
819,2368.0, 3.2903225806451615
824,2368.0, 3.2903225806451615
829,2370.0, 3.2903225806451615
834,2370.0, 3.2903225806451615
839,2370.0, 3.2903225806451615
844,2370.0, 3.2903225806451615
849,2375.0, 3.2903225806451615
854,2375.0, 3.3027859237536656
859,2375.0, 3.3027859237536656
864,2375.0, 3.3027859237536656
869,2379.0, 3.3027859237536656
874,2379.0, 3.3027859237536656
879,2379.0, 3.3027859237536656
884,2379.0, 3.3027859237536656
889,2377.0, 3.3027859237536656
894,2377.0, 3.3027859237536656
899,2377.0, 3.3027859237536656
904,2377.0, 3.3027859237536656
909,2375.0, 3.3027859237536656
914,2375.0, 3.3027859237536656
919,2375.0, 3.3027859237536656
924,2375.0, 3.3027859237536656
929,2375.0, 3.3027859237536656
934,2375.0, 3.3027859237536656
939,2375.0, 3.3027859237536656
944,2375.0, 3.3027859237536656
949,2375.0, 3.3027859237536656
954,2375.0, 3.3027859237536656
959,2375.0, 3.3027859237536656
964,2375.0, 3.3027859237536656
969,2374.0, 3.3027859237536656
974,2374.0, 3.3027859237536656
979,2374.0, 3.3027859237536656
984,2374.0, 3.3027859237536656
989,2376.0, 3.3027859237536656
994,2376.0, 3.3027859237536656
999,2376.0, 3.3027859237536656
1004,2376.0, 3.3027859237536656
1009,2378.0, 3.3027859237536656
1014,2378.0, 3.3027859237536656
1019,2378.0, 3.3027859237536656
1024,2378.0, 3.3027859237536656
1029,2382.0, 3.3027859237536656
1034,2382.0, 3.3027859237536656
1039,2382.0, 3.3027859237536656
1044,2382.0, 3.3027859237536656
1049,2383.0, 3.3027859237536656
1054,2383.0, 3.3027859237536656
1059,2383.0, 3.3027859237536656
1064,2383.0, 3.3027859237536656
1069,2382.0, 3.3027859237536656
1074,2382.0, 3.3027859237536656
1079,2382.0, 3.3027859237536656
1084,2382.0, 3.3027859237536656
1089,2381.0, 3.3027859237536656
1094,2381.0, 3.3027859237536656
1099,2381.0, 3.3027859237536656
1104,2381.0, 3.3027859237536656
1109,2385.0, 3.3027859237536656
1114,2385.0, 3.3027859237536656
1119,2385.0, 3.3027859237536656
1124,2385.0, 3.3027859237536656
1129,2389.0, 3.3027859237536656
1134,2389.0, 3.3027859237536656
1139,2389.0, 3.3027859237536656
1144,2389.0, 3.3027859237536656
1149,2391.0, 3.3027859237536656
1154,2391.0, 3.3027859237536656
1159,2391.0, 3.3027859237536656
