timestamp,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_10__output_voltage,talonfx_10__selected_sensor_velocity,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_11__output_voltage,talonfx_11__selected_sensor_velocity,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_12__output_voltage,talonfx_12__selected_sensor_velocity,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_13__output_voltage,talonfx_13__selected_sensor_velocity
43,-3626.0,-2.570772238514174,-1026.0,-3614.0,-2.7575268817204304,-1379.0,3626.0,2.4585043988269795,1355.0,-3614.0,-2.6586021505376345,-1196.0
48,-3626.0,-2.570772238514174,-1565.0,-3614.0,-2.7575268817204304,-1955.0,3626.0,2.4585043988269795,1861.0,-3614.0,-2.6586021505376345,-1799.0
53,-3626.0,-2.431182795698925,-1565.0,-3614.0,-2.5844086021505377,-1955.0,3626.0,2.8504398826979473,1861.0,-3614.0,-2.485483870967742,-1799.0
58,-3626.0,-2.431182795698925,-1565.0,-3614.0,-2.5844086021505377,-1955.0,3626.0,2.8504398826979473,1861.0,-3614.0,-2.485483870967742,-1799.0
63,-4110.0,-2.8150537634408606,-1565.0,-4097.0,-2.99247311827957,-1955.0,4110.0,2.6960410557184753,1861.0,-4097.0,-2.9059139784946235,-1799.0
68,-4110.0,-2.8150537634408606,-2128.0,-4097.0,-2.99247311827957,-2535.0,4110.0,2.6960410557184753,2460.0,-4097.0,-2.9059139784946235,-2335.0
73,-4110.0,-2.6638318670576737,-2128.0,-4097.0,-2.782258064516129,-2535.0,4110.0,3.0523460410557184,2460.0,-4097.0,-2.7327956989247313,-2335.0
78,-4110.0,-2.6638318670576737,-2128.0,-4097.0,-2.782258064516129,-2535.0,4110.0,3.0523460410557184,2460.0,-4097.0,-2.7327956989247313,-2335.0
83,-4575.0,-3.0360703812316716,-2128.0,-4555.0,-3.2150537634408605,-2535.0,4575.0,2.9098240469208214,2460.0,-4556.0,-3.1408602150537637,-2335.0
88,-4575.0,-3.0360703812316716,-2687.0,-4555.0,-3.2150537634408605,-3125.0,4575.0,2.9098240469208214,3034.0,-4556.0,-3.1408602150537637,-2907.0
93,-4575.0,-2.8964809384164223,-2687.0,-4555.0,-3.017204301075269,-3125.0,4575.0,3.2661290322580645,3034.0,-4556.0,-2.9553763440860212,-2907.0
98,-4575.0,-2.8964809384164223,-2687.0,-4555.0,-3.017204301075269,-3125.0,4575.0,3.2661290322580645,3034.0,-4556.0,-2.9553763440860212,-2907.0
103,-5018.0,-3.2221896383186706,-2687.0,-4994.0,-3.3634408602150536,-3125.0,5018.0,3.1117302052785925,3034.0,-4994.0,-3.3510752688172043,-2907.0
108,-5018.0,-3.2221896383186706,-3244.0,-4994.0,-3.3634408602150536,-3678.0,5018.0,3.1117302052785925,3566.0,-4994.0,-3.3510752688172043,-3463.0
113,-5018.0,-3.0942326490713588,-3244.0,-4994.0,-3.2026881720430107,-3678.0,5018.0,3.468035190615836,3566.0,-4994.0,-3.2026881720430107,-3463.0
118,-5018.0,-3.0942326490713588,-3244.0,-4994.0,-3.2026881720430107,-3678.0,5018.0,3.468035190615836,3566.0,-4994.0,-3.2026881720430107,-3463.0
123,-5435.0,-3.431573802541545,-3244.0,-5411.0,-3.5983870967741938,-3678.0,5435.0,3.3136363636363635,3566.0,-5411.0,-3.573655913978495,-3463.0
128,-5435.0,-3.431573802541545,-3738.0,-5411.0,-3.5983870967741938,-4165.0,5435.0,3.3136363636363635,4127.0,-5411.0,-3.573655913978495,-3956.0
133,-5435.0,-3.31524926686217,-3738.0,-5411.0,-3.4376344086021504,-4165.0,5435.0,3.622434017595308,4127.0,-5411.0,-3.4376344086021504,-3956.0
138,-5435.0,-3.31524926686217,-3738.0,-5411.0,-3.4376344086021504,-4165.0,5435.0,3.622434017595308,4127.0,-5411.0,-3.4376344086021504,-3956.0
143,-5846.0,-3.6409579667644185,-3738.0,-5820.0,-3.820967741935484,-4165.0,5846.0,3.5036656891495603,4127.0,-5821.0,-3.820967741935484,-3956.0
148,-5846.0,-3.6409579667644185,-4203.0,-5820.0,-3.820967741935484,-4585.0,5846.0,3.5036656891495603,4594.0,-5821.0,-3.820967741935484,-4352.0
153,-5846.0,-3.5362658846529818,-4203.0,-5820.0,-3.6973118279569896,-4585.0,5846.0,3.8599706744868034,4594.0,-5821.0,-3.6973118279569896,-4352.0
158,-5846.0,-3.5362658846529818,-4203.0,-5820.0,-3.6973118279569896,-4585.0,5846.0,3.8599706744868034,4594.0,-5821.0,-3.6973118279569896,-4352.0
163,-6243.0,-3.850342130987292,-4203.0,-6219.0,-3.7079178885630504,-4585.0,6243.0,3.7412023460410557,4594.0,-6219.0,-3.7305962854349954,-4352.0
168,-6243.0,-3.850342130987292,-4632.0,-6219.0,-3.7079178885630504,-5012.0,6243.0,3.7412023460410557,5000.0,-6219.0,-3.7305962854349954,-4778.0
173,-6243.0,-3.757282502443793,-4632.0,-6219.0,-3.583186705767351,-5012.0,6243.0,4.05,5000.0,-6219.0,-3.6285434995112418,-4778.0
178,-6243.0,-3.757282502443793,-4632.0,-6219.0,-3.583186705767351,-5012.0,6243.0,4.05,5000.0,-6219.0,-3.6285434995112418,-4778.0
183,-6635.0,-4.059726295210166,-4632.0,-6612.0,-3.9233626588465302,-5012.0,6635.0,3.954985337243402,5000.0,-6612.0,-3.957380254154448,-4778.0
188,-6635.0,-4.059726295210166,-5052.0,-6612.0,-3.9233626588465302,-5430.0,6635.0,3.954985337243402,5413.0,-6612.0,-3.957380254154448,-5172.0
193,-6635.0,-3.9550342130987293,-5052.0,-6612.0,-3.8213098729227766,-5430.0,6635.0,4.299413489736071,5413.0,-6612.0,-3.8780058651026397,-5172.0
198,-6635.0,-3.9550342130987293,-5052.0,-6612.0,-3.8213098729227766,-5430.0,6635.0,4.299413489736071,5413.0,-6612.0,-3.8780058651026397,-5172.0
203,-7021.0,-4.2923753665689155,-5052.0,-6999.0,-4.1388074291300105,-5430.0,7021.0,4.204398826979473,5413.0,-6999.0,-4.195503421309874,-5172.0
208,-7021.0,-4.2923753665689155,-5436.0,-6999.0,-4.1388074291300105,-5812.0,7021.0,4.204398826979473,5796.0,-6999.0,-4.195503421309874,-5546.0
213,-7021.0,-4.22258064516129,-5436.0,-6999.0,-4.048093841642229,-5812.0,7021.0,4.536950146627566,5796.0,-6999.0,-4.1047898338220925,-5546.0
218,-7021.0,-4.22258064516129,-5436.0,-6999.0,-4.048093841642229,-5812.0,7021.0,4.536950146627566,5796.0,-6999.0,-4.1047898338220925,-5546.0
223,-7407.0,-4.525024437927664,-5436.0,-7384.0,-4.365591397849463,-5812.0,7407.0,4.307184750733138,5796.0,-7384.0,-4.444965786901271,-5546.0
228,-7407.0,-4.525024437927664,-5815.0,-7384.0,-4.365591397849463,-6245.0,7407.0,4.307184750733138,6178.0,-7384.0,-4.444965786901271,-5917.0
233,-7407.0,-4.455229716520039,-5815.0,-7384.0,-4.252199413489737,-6245.0,7407.0,4.594330400782013,6178.0,-7384.0,-4.35425219941349,-5917.0
238,-7407.0,-4.455229716520039,-5815.0,-7384.0,-4.252199413489737,-6245.0,7407.0,4.594330400782013,6178.0,-7384.0,-4.35425219941349,-5917.0
243,-7790.0,-4.697702834799609,-5815.0,-7767.0,-4.547018572825025,-6245.0,7790.0,4.490957966764419,6178.0,-7767.0,-4.6944281524926685,-5917.0
248,-7790.0,-4.697702834799609,-6187.0,-7767.0,-4.547018572825025,-6671.0,7790.0,4.490957966764419,6609.0,-7767.0,-4.6944281524926685,-6304.0
253,-7790.0,-4.628787878787879,-6187.0,-7767.0,-4.422287390029326,-6671.0,7790.0,4.78958944281525,6609.0,-7767.0,-4.603714565004888,-6304.0
258,-7790.0,-4.628787878787879,-6187.0,-7767.0,-4.422287390029326,-6671.0,7790.0,4.78958944281525,6609.0,-7767.0,-4.603714565004888,-6304.0
263,-8169.0,-4.938905180840665,-6187.0,-8145.0,-4.7511241446725325,-6671.0,8169.0,4.709188660801564,6609.0,-8145.0,-4.932551319648095,-6304.0
268,-8169.0,-4.938905180840665,-6544.0,-8145.0,-4.7511241446725325,-7053.0,8169.0,4.709188660801564,7006.0,-8145.0,-4.932551319648095,-6674.0
273,-8169.0,-4.869990224828935,-6544.0,-8145.0,-4.6717497556207235,-7053.0,8169.0,4.99633431085044,7006.0,-8145.0,-4.853176930596287,-6674.0
278,-8169.0,-4.869990224828935,-6544.0,-8145.0,-4.6717497556207235,-7053.0,8169.0,4.99633431085044,7006.0,-8145.0,-4.853176930596287,-6674.0
283,-8549.0,-5.18010752688172,-6544.0,-8517.0,-4.977908113391985,-7053.0,8549.0,4.9044477028347995,7006.0,-8518.0,-5.170674486803519,-6674.0
288,-8549.0,-5.18010752688172,-6893.0,-8517.0,-4.977908113391985,-7450.0,8549.0,4.9044477028347995,7420.0,-8518.0,-5.170674486803519,-7044.0
293,-8549.0,-5.122678396871946,-6893.0,-8517.0,-4.887194525904204,-7450.0,8549.0,5.18010752688172,7420.0,-8518.0,-5.057282502443793,-7044.0
298,-8549.0,-5.122678396871946,-6893.0,-8517.0,-4.887194525904204,-7450.0,8549.0,5.18010752688172,7420.0,-8518.0,-5.057282502443793,-7044.0
303,-8929.0,-5.432795698924731,-6893.0,-8892.0,-5.182013685239492,-7450.0,8930.0,5.122678396871946,7420.0,-8892.0,-5.397458455522972,-7044.0
308,-8929.0,-5.432795698924731,-7241.0,-8892.0,-5.182013685239492,-7859.0,8930.0,5.122678396871946,7829.0,-8892.0,-5.397458455522972,-7420.0
313,-8929.0,-5.352394916911046,-7241.0,-8892.0,-5.079960899315739,-7859.0,8930.0,5.4098240469208205,7829.0,-8892.0,-5.306744868035191,-7420.0
318,-8929.0,-5.352394916911046,-7241.0,-8892.0,-5.079960899315739,-7859.0,8930.0,5.4098240469208205,7829.0,-8892.0,-5.306744868035191,-7420.0
323,-9302.0,-5.673998044965787,-7241.0,-9260.0,-5.3634408602150545,-7859.0,9302.0,5.329423264907136,7829.0,-9260.0,-5.612903225806453,-7420.0
328,-9302.0,-5.673998044965787,-7598.0,-9260.0,-5.3634408602150545,-8259.0,9302.0,5.329423264907136,8234.0,-9260.0,-5.612903225806453,-7793.0
333,-9302.0,-5.5821114369501466,-7598.0,-9260.0,-5.2613880742913,-8259.0,9302.0,5.616568914956012,8234.0,-9260.0,-5.499511241446727,-7793.0
338,-9302.0,-5.5821114369501466,-7598.0,-9260.0,-5.2613880742913,-8259.0,9302.0,5.616568914956012,8234.0,-9260.0,-5.499511241446727,-7793.0
343,-9678.0,-5.880742913000978,-7598.0,-9624.0,-5.567546432062562,-8259.0,9679.0,5.501710654936461,8234.0,-9624.0,-5.839687194525905,-7793.0
348,-9678.0,-5.880742913000978,-7978.0,-9624.0,-5.567546432062562,-8632.0,9679.0,5.501710654936461,8657.0,-9624.0,-5.839687194525905,-8156.0
353,-9678.0,-5.823313782991202,-7978.0,-9624.0,-5.476832844574781,-8632.0,9679.0,5.777370478983382,8657.0,-9624.0,-5.726295210166179,-8156.0
