timestamp,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_10__output_voltage,talonfx_10__selected_sensor_velocity,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_11__output_voltage,talonfx_11__selected_sensor_velocity,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_12__output_voltage,talonfx_12__selected_sensor_velocity,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_13__output_voltage,talonfx_13__selected_sensor_velocity
41,-3509.0,-2.7187683284457482,-1604.0,-3524.0,-2.672727272727273,-1438.0,3510.0,2.4263929618768327,1961.0,-3525.0,-2.611143695014663,-1836.0
46,-3509.0,-2.532551319648094,-1604.0,-3524.0,-2.2026392961876833,-1438.0,3510.0,2.7712609970674484,1961.0,-3525.0,-2.3313782991202348,-1836.0
51,-3509.0,-2.532551319648094,-1604.0,-3524.0,-2.2026392961876833,-1438.0,3510.0,2.7712609970674484,1961.0,-3525.0,-2.1664222873900294,-1836.0
56,-3509.0,-2.9173998044965788,-1604.0,-3524.0,-2.506451612903226,-1438.0,3510.0,2.611143695014663,1961.0,-3525.0,-2.1664222873900294,-1836.0
61,-3950.0,-2.9173998044965788,-2126.0,-3959.0,-2.506451612903226,-1994.0,3950.0,2.611143695014663,2521.0,-3959.0,-2.4853372434017595,-2369.0
66,-3950.0,-2.7684261974584556,-2126.0,-3959.0,-2.354545454545455,-1994.0,3950.0,2.9436950146627563,2521.0,-3959.0,-2.4853372434017595,-2369.0
71,-3950.0,-2.7684261974584556,-2126.0,-3959.0,-2.354545454545455,-1994.0,3950.0,2.9436950146627563,2521.0,-3959.0,-2.6722873900293256,-2369.0
76,-3950.0,-3.1160312805474097,-2126.0,-3959.0,-2.6366568914956017,-1994.0,3950.0,2.7835777126099708,2521.0,-3959.0,-2.6722873900293256,-2369.0
81,-4422.0,-3.1160312805474097,-2606.0,-4427.0,-2.6366568914956017,-3064.0,4422.0,2.7835777126099708,3083.0,-4427.0,-2.6722873900293256,-2851.0
86,-4422.0,-2.9670576735092866,-2606.0,-4427.0,-2.48475073313783,-3064.0,4422.0,3.165395894428152,3083.0,-4427.0,-2.529325513196481,-2851.0
91,-4422.0,-2.9670576735092866,-2606.0,-4427.0,-2.48475073313783,-3064.0,4422.0,3.165395894428152,3083.0,-4427.0,-2.529325513196481,-2851.0
96,-4422.0,-3.364320625610948,-2606.0,-4427.0,-2.8319648093841647,-3064.0,4422.0,3.0545454545454547,3083.0,-4427.0,-2.914222873900293,-2851.0
101,-4873.0,-3.364320625610948,-3118.0,-4877.0,-2.8319648093841647,-3568.0,4873.0,3.0545454545454547,3547.0,-4877.0,-2.914222873900293,-3307.0
106,-4873.0,-3.227761485826002,-3118.0,-4877.0,-2.7234604105571854,-3568.0,4873.0,3.436363636363636,3547.0,-4877.0,-2.7932551319648096,-3307.0
111,-4873.0,-3.227761485826002,-3118.0,-4877.0,-2.7234604105571854,-3568.0,4873.0,3.436363636363636,3547.0,-4877.0,-2.7932551319648096,-3307.0
116,-4873.0,-3.3281524926686217,-3118.0,-4877.0,-3.070674486803519,-3568.0,4873.0,3.1407624633431084,3547.0,-4877.0,-3.1341642228739,-3307.0
121,-5297.0,-3.3281524926686217,-3602.0,-5302.0,-3.070674486803519,-4028.0,5297.0,3.1407624633431084,3982.0,-5302.0,-3.1341642228739,-3784.0
126,-5297.0,-3.225219941348973,-3602.0,-5302.0,-2.96217008797654,-4028.0,5297.0,3.489736070381232,3982.0,-5302.0,-3.0131964809384164,-3784.0
131,-5297.0,-3.225219941348973,-3602.0,-5302.0,-2.96217008797654,-4028.0,5297.0,3.489736070381232,3982.0,-5302.0,-3.0131964809384164,-3784.0
136,-5297.0,-3.5454545454545454,-3602.0,-5302.0,-3.2876832844574784,-4028.0,5297.0,3.385043988269795,3982.0,-5302.0,-3.3760997067448684,-3784.0
141,-5726.0,-3.5454545454545454,-4051.0,-5723.0,-3.2876832844574784,-4446.0,5726.0,3.385043988269795,4403.0,-5723.0,-3.3760997067448684,-4224.0
147,-5726.0,-3.453958944281525,-4051.0,-5723.0,-3.179178885630499,-4446.0,5726.0,3.7223851417399807,4403.0,-5723.0,-3.2551319648093844,-4224.0
