timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_10__selected_sensor_velocity,talonfx_11__selected_sensor_velocity,talonfx_12__selected_sensor_velocity,talonfx_13__selected_sensor_velocity
52,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1326102750072474,-0.3311296048053804,-0.05715953083119368,0.0,0.0,0.019999980926513672,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
