timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_10__selected_sensor_velocity,talonfx_11__selected_sensor_velocity,talonfx_12__selected_sensor_velocity,talonfx_13__selected_sensor_velocity
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3367435231263997E-5,-1.2591054901766694E-9,0.010000228881835938,0.010000228881835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
