timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_
38,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
39,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
44,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
49,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
54,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
59,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
64,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
69,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
74,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
79,2.9999999999999996,0.0,0.0,-3.9999999999999996,-1.1244958915987372E-14,4.498243996692209,-0.08292017820019909,-0.16760877383434172,0.038397290149194324,-0.04450739298958663,-0.1920203667570829,0.03999900817871094,0.03999900817871094,0.0,0.0,0.0,0.0
