timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_,talonfx_10__selected_sensor_velocity,talonfx_11__selected_sensor_velocity,talonfx_12__selected_sensor_velocity,talonfx_13__selected_sensor_velocity
50,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,3.0,-2.0000000000000004,0.0,-6.0,-1.1734096518825372E-14,3.581902047893421,-0.1743881674172565,-0.4187221469353965,-0.10166550882350239,3.0677587111912072,-1.9768176033053428,-0.9100036621093751,-1.220001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
